dre,nome,data_inicio,data_fim,cr
188079910,Stacee Whisson,2018-07-01,2015-12-19,1.9
657144266,Elfrieda Gerwood,2018-07-17,2017-05-21,2.2
709697409,Corine MacCombe,2016-12-25,2016-08-14,4.8
777953039,Dex Effemy,2017-08-26,2017-09-11,2.0
982968457,Stanislaus Flute,2018-08-19,2017-11-24,5.4
236884971,Neda Edon,2018-06-21,2017-05-20,0.8
835679003,Sheena Sturley,2017-11-14,2016-05-24,5.5
772642845,Rod Elmer,2018-06-12,2016-07-17,3.5
896507923,Sascha Cristofvao,2017-02-26,2018-03-22,2.0
952714666,Henrik Davage,2018-02-01,2016-05-10,3.5
599084681,Ware Verry,2017-10-04,2018-11-10,9.9
206362956,Parnell Littlechild,2019-07-19,2016-04-16,8.7
589444629,Eberhard Greer,2018-06-30,2019-05-08,3.1
790192101,Casandra Scintsbury,2016-12-28,2019-02-24,8.2
724040072,Munmro Pawelczyk,2019-06-17,2017-11-29,8.8
725662094,Nickolas Dahl,2017-08-13,2016-10-05,2.6
660439119,Edy Harme,2017-09-03,2016-05-16,9.4
564854257,Bekki Zack,2017-04-25,2018-09-24,7.4
000702072,Lorne Risdale,2017-02-06,2018-09-13,8.2
438088866,Jan Brown,2018-08-20,2017-09-13,3.4
088001769,Wilona Yeldon,2017-12-07,2018-08-28,1.7
341651213,Joshuah Firmager,2016-01-04,2016-08-19,1.4
198077480,Aveline Leipnik,2019-05-23,2016-12-23,6.9
681320149,Barth O'Geneay,2019-04-15,2017-06-06,7.8
438634547,Roch Harrop,2019-03-26,2016-12-15,8.8
627031262,Dorothea Beaushaw,2015-12-26,2019-03-14,3.4
228466954,Richardo Rapin,2016-12-30,2019-05-23,8.5
465283328,Donall O'Cullen,2017-09-30,2018-07-03,3.8
626158360,Gustav Berlin,2016-11-15,2019-06-06,2.3
321935843,Harriett Jonk,2019-05-31,2016-05-23,4.7
742143298,Hube Goodnow,2016-07-24,2018-07-18,4.2
168448573,Sada Bovis,2019-08-13,2018-08-04,0.6
222784554,Gussie Peake,2016-03-22,2017-11-29,7.0
576064006,Zachariah Kinsey,2018-08-28,2018-09-15,8.8
988062007,Ranique Brecknall,2017-03-03,2019-09-23,0.7
076197951,Claiborne Tipple,2019-03-12,2017-07-25,2.0
391022442,Rollin Alliband,2018-04-11,2018-09-20,3.3
824140730,Karina Bilofsky,2016-12-08,2016-07-09,2.9
660672755,Pansie Langlais,2018-02-16,2016-02-22,1.0
328007320,Briana Hunn,2019-06-03,2016-10-12,9.6
458510458,Therine Tzuker,2018-11-22,2018-09-29,1.7
651799409,Molly Dosdill,2016-09-23,2018-03-03,6.0
311856291,Pearle Awmack,2019-03-19,2018-01-03,9.9
550336200,Clarita Seyfart,2015-11-11,2016-05-19,9.9
349468665,Herculie Farlham,2016-07-24,2017-03-02,5.5
702562584,Stepha Neil,2019-06-24,2018-05-22,7.5
029849823,Sinclare Duxfield,2016-12-25,2016-07-03,7.1
851391588,Barby James,2017-04-24,2017-05-31,3.2
988577748,Lucilia Crum,2018-05-21,2019-05-10,5.6
842292586,Ebba Tonkinson,2016-07-11,2018-01-06,3.7
437028506,Kaleena Dumbrill,2017-07-23,2019-02-18,0.0
075712855,Cele McMenamin,2016-11-29,2019-01-16,6.9
064406173,Gertie Deeming,2018-04-05,2019-05-17,3.6
440463704,Alric Mummery,2017-12-17,2017-09-18,7.0
966115415,Lanita Collum,2017-12-14,2018-04-23,1.4
805764689,Vernice Ternott,2017-12-23,2015-11-27,9.9
776553625,Heloise Ledgister,2016-10-17,2017-08-17,8.8
554698308,Lani Geater,2017-02-05,2016-09-13,3.1
928938370,Sandor Strettle,2018-09-21,2017-05-20,8.9
533358297,Gipsy Roycroft,2016-03-24,2016-07-06,8.0
810125363,Otto Lishman,2018-12-11,2016-04-22,4.7
397178191,Rosanne Kirckman,2016-01-28,2018-06-12,8.2
786009336,Toddie Makinson,2017-10-24,2018-11-28,4.5
884956718,Nestor Baythrop,2017-04-16,2016-11-03,5.7
995450423,Romy Kilner,2019-03-29,2017-02-07,5.8
759419613,Lorie Eggers,2019-08-17,2015-12-08,9.8
210944440,Barde Cluff,2019-05-16,2017-03-03,4.1
359968458,Sheffy Amys,2016-02-18,2017-02-01,8.4
815908221,Rickie Ickovits,2018-09-05,2018-08-25,1.3
685963142,Davy Nassey,2015-12-10,2018-09-12,5.8
776323157,Marlo Hurle,2016-06-21,2018-04-29,4.3
589199374,Philbert Allnatt,2016-10-14,2019-08-31,4.2
419180464,Fidelity Kitson,2018-07-28,2017-04-24,2.2
628176074,Cornelius Heinke,2016-06-28,2019-09-17,7.9
037748222,Cordey Pickthorn,2019-09-06,2018-03-22,3.5
766989566,Brendon Devons,2017-06-11,2018-01-02,4.4
184326380,Cart Desquesnes,2016-03-16,2015-12-05,8.1
242502163,Wrennie Standbridge,2017-05-09,2017-04-05,1.1
106250116,Clarance Dovington,2016-12-12,2018-04-26,1.1
620847742,Fayre Nuton,2017-07-19,2018-11-16,8.4
038218922,Meridel Van Geffen,2019-07-02,2017-01-29,6.1
661762218,Nikola Smy,2016-06-09,2019-02-23,0.7
882532543,Daisi Lanfere,2018-05-29,2016-07-24,4.1
404607929,Kip Marval,2019-09-10,2019-01-15,7.3
404544509,Faun Tuffell,2016-02-02,2017-12-20,7.2
870997691,Tabb Castagneri,2016-12-04,2016-04-08,1.7
675620234,Alano Matthisson,2017-01-23,2018-02-17,8.6
142646125,Gillie Kirvell,2016-10-29,2019-09-30,2.1
217173878,Harlan Newlove,2016-04-22,2018-12-24,9.6
255762183,Breena McLelland,2017-08-02,2018-08-29,3.2
861654812,Tomi Woolley,2019-08-08,2016-02-09,4.9
434600426,Cassy Pawlicki,2017-10-15,2017-07-24,2.9
404986978,Salmon Peacocke,2018-09-11,2016-08-19,3.0
201549932,Chauncey Kerwen,2017-12-03,2018-07-23,5.9
490783484,Mayne Wyley,2019-02-17,2016-08-21,7.2
406432645,Jennifer Cazin,2016-01-02,2018-10-22,5.8
172778523,Lyn Bassett,2017-07-14,2017-09-17,7.2
696057649,Ingemar Clearley,2017-11-10,2018-07-06,8.8
182947090,Tansy Gouch,2018-02-03,2017-07-27,6.8
163675159,Gwyneth Brunke,2017-07-26,2019-03-22,9.5
180445741,Salem Balcombe,2018-11-03,2018-08-19,7.6
745910276,Mannie Cragg,2016-07-14,2018-02-04,3.0
547276846,Temp Poulsum,2018-03-03,2019-04-29,0.6
582028678,Isaac Corryer,2018-09-22,2018-11-24,1.8
664353803,Julie Shatford,2016-09-30,2016-01-20,0.8
743795715,Auguste Dowry,2016-12-28,2017-02-05,1.4
614765889,Gordie Brazier,2019-01-07,2016-06-06,9.1
024130633,Sibylle Seacombe,2017-10-31,2018-10-13,8.5
066702924,Flint Spencelayh,2018-01-06,2019-04-27,6.3
470350013,Morena Laidlow,2018-12-19,2016-11-19,7.6
861122593,Donna Goodsir,2019-09-20,2019-01-31,5.9
584788161,Izzy Van T'Hoog,2018-05-10,2019-05-30,1.4
044476594,Stanwood Motton,2019-05-05,2019-04-14,4.7
831130197,Jorey Lyster,2016-10-10,2018-12-16,5.8
693629707,Mallory Duetsche,2017-11-27,2017-11-12,1.6
827719013,Nisse Ballin,2018-10-28,2019-08-12,3.3
460074917,Cecil Fenny,2015-12-05,2016-02-29,2.8
328438048,Eulalie Michelle,2015-11-07,2018-04-16,4.1
884382338,Kathleen Yakolev,2016-04-21,2017-01-29,9.8
480409374,Zia Coysh,2017-04-14,2017-05-20,9.4
369338769,Quinn Rookeby,2019-03-20,2017-03-31,1.4
518098708,Emelen Hanne,2017-02-04,2017-07-28,3.8
889700905,Culley Robart,2017-09-23,2018-11-19,0.8
346431177,Aubrette Gelland,2018-12-29,2018-02-17,0.7
941328423,Herold Watkins,2016-07-09,2018-05-23,5.7
928669014,Ardyth Matyja,2016-06-22,2016-11-09,9.9
019895720,Archy Rodway,2017-05-09,2017-06-04,5.8
781050411,Leigh Grogan,2016-05-04,2018-04-12,7.4
625098622,Annabel Scherer,2018-01-30,2017-12-17,3.0
403597553,Jereme Proschke,2018-08-09,2018-12-24,5.6
510005434,Nester Scourfield,2016-06-28,2017-01-28,0.8
442393131,Karlens Whitehead,2019-06-18,2016-03-01,7.0
833478054,Celia Ventris,2019-07-19,2016-06-25,6.0
358858784,Yul Carlett,2017-10-02,2018-01-23,1.2
074546115,Nanci Francais,2017-05-21,2019-04-17,8.6
357182486,Roby Roxburgh,2017-11-30,2019-07-10,0.2
487810875,Madelaine Geharke,2015-11-16,2016-04-04,8.9
825675063,Demetre Hanlin,2018-07-21,2018-08-01,1.9
832905526,Noel Tildesley,2017-02-05,2016-01-07,0.1
620656196,Louie Slorance,2015-11-16,2019-01-13,7.0
486282946,Barbabra Smaridge,2019-03-31,2019-05-04,5.0
399504716,Deonne Syseland,2016-02-19,2019-09-15,6.7
837564235,Monika Belhomme,2018-04-28,2018-10-25,0.1
429374547,Lucienne Ginner,2016-08-27,2016-07-04,8.0
376700974,Chane Stichel,2016-03-05,2017-08-20,6.3
141911661,Jenica Benian,2018-09-06,2018-07-05,1.6
219073185,Vanna MacShirrie,2017-01-02,2018-08-04,8.6
101549217,Umberto Yardley,2018-12-21,2016-10-14,7.2
929703743,Janos Rohfsen,2018-09-05,2019-06-09,1.9
133929824,Wadsworth Creer,2015-10-30,2017-12-26,6.0
702320521,Darda Blunsum,2018-04-22,2019-08-20,1.4
799869142,Levy Darleston,2016-08-23,2018-03-01,7.4
244602076,Quincy Cudd,2015-12-13,2016-04-02,4.8
192048862,Tatiania Senner,2015-11-01,2017-09-04,5.2
952064216,Rasia Petrushka,2019-03-17,2018-06-24,4.9
299402213,Federica Besemer,2019-01-27,2018-08-19,3.1
797423601,Rosemaria Discombe,2017-07-27,2017-06-27,3.5
260311265,Danni Twaits,2018-09-30,2017-01-21,0.1
531331916,Marsiella Ianni,2017-11-15,2018-02-04,1.0
181113949,Morgen Putman,2019-09-24,2019-02-07,7.2
363220555,Waylon Minney,2017-12-01,2019-04-15,6.2
054136446,Gallagher Floweth,2016-10-14,2016-10-21,6.8
143343474,Ralf Shippey,2016-01-30,2015-11-13,4.7
391078483,Cornelle Goom,2016-05-18,2015-10-11,4.7
102713385,Kelley Philippon,2019-06-16,2019-09-19,2.7
608712329,Bekki Gabe,2018-03-18,2016-02-15,4.8
087213125,Elias Shotton,2016-09-21,2018-05-30,1.4
979821650,Florette Albury,2017-01-06,2016-08-26,7.3
836775732,Doralynn Harrema,2019-08-11,2016-01-10,9.8
730494883,Obed Parcall,2019-09-11,2017-07-01,8.6
795599267,Magda Ransfield,2015-10-11,2016-03-07,4.9
261883534,Stephi Bradmore,2019-08-23,2018-01-26,9.9
676155031,Lennie Delyth,2017-12-31,2018-05-24,5.2
271202624,Rogers Gawthrop,2018-10-31,2017-05-10,0.3
052944598,Annadiana Messum,2019-05-16,2016-09-24,6.8
860897805,Dell Shurey,2018-09-12,2016-01-10,3.2
919629900,Stacey Kirkup,2015-10-14,2018-11-23,7.9
759228017,Danyette Nobes,2019-01-24,2017-08-24,1.6
893588592,Darcy McGenn,2017-08-13,2018-04-14,6.6
540899036,Kaine Raisher,2019-06-07,2018-04-06,7.5
474775150,Adah Whistlecraft,2018-01-12,2018-02-09,4.6
991543671,Issie Preskett,2017-01-31,2018-11-13,3.2
723143632,Meredith Garwood,2016-06-12,2016-12-13,3.1
760064775,Edwin Gerant,2017-10-31,2015-11-21,0.6
440506360,Hilda Vaughan-Hughes,2015-10-26,2019-01-03,4.4
990048058,Gayle Norcott,2019-04-23,2018-08-14,8.2
406139745,Teodoor Farady,2019-03-16,2019-02-13,6.3
402685497,Mitchel Presslee,2019-03-27,2017-07-31,3.4
297984130,Gordie Woofenden,2019-09-21,2018-08-02,7.8
669012515,Tabbie Faireclough,2019-04-29,2018-09-05,6.0
488855882,Adorne Flett,2018-11-12,2016-09-20,0.7
988351948,Mitzi Fudger,2018-03-22,2017-01-02,6.0
376363096,Effie Oene,2017-05-18,2017-09-29,6.7
135659212,Hermy Farn,2018-10-07,2016-10-29,3.7
668272927,Shanta Thornborrow,2016-03-02,2017-02-17,7.3
096310041,Bren Daniel,2019-02-01,2016-06-23,7.2
564516081,Vivi Halson,2019-07-08,2017-03-29,3.9
532996601,Vidovik Eilhertsen,2016-10-12,2017-05-04,4.3
151695633,Hobard Gildea,2016-06-13,2017-05-09,4.1
446242472,Daile St Ange,2017-08-22,2017-12-22,0.4
494371608,Ellie Ferencowicz,2016-02-26,2018-05-04,7.0
140053211,Danny Kennaird,2017-11-22,2016-05-06,1.9
231451983,Niccolo Widdowson,2016-12-13,2016-08-31,2.7
467585215,Marge Tace,2016-05-11,2017-07-04,5.7
321584049,Goldi Maxwaile,2018-08-02,2016-02-03,4.4
030280144,Norrie Kitchener,2016-07-16,2018-09-09,6.9
545502836,Jamal Fildes,2017-02-17,2017-10-17,5.3
050105513,Michaelina Honeyghan,2018-02-14,2017-05-12,9.9
517977382,Shannon Behnecke,2016-12-12,2016-06-14,6.0
168790422,Teodor Levane,2015-12-20,2016-12-03,4.9
649221565,Nickolai Cossell,2016-03-06,2019-07-27,1.4
442198087,Bev Wainscoat,2017-02-11,2018-02-07,2.3
409881531,Ganny Duthie,2019-08-04,2016-06-22,5.0
599177659,Lanae Hinchon,2018-09-22,2017-03-04,9.7
882932551,Elia Winchcombe,2018-03-30,2018-11-14,3.2
774422644,Galen Ibbeson,2015-12-09,2015-12-27,1.1
025923473,Brewster Sindle,2019-07-10,2018-03-31,1.7
358442803,Donnajean Ollarenshaw,2017-08-13,2019-08-20,5.4
075896099,Tirrell Kirby,2016-08-12,2019-05-26,0.8
790799526,Priscilla Farthing,2017-04-26,2015-12-03,7.5
596874718,Aube Bosdet,2019-09-26,2016-05-04,6.1
270114493,Chiarra Slowcock,2018-08-20,2018-05-16,1.3
303340857,Elliott Colthard,2019-04-27,2017-02-17,3.2
660583715,Dominique Legonidec,2016-06-21,2017-01-30,6.5
305635667,Carissa Selland,2016-11-20,2017-07-19,2.0
018271157,Bree Lundy,2019-07-21,2018-11-26,2.4
903234290,Kirk Terrey,2017-08-10,2019-08-28,3.5
061798142,Mirilla Brabyn,2018-01-02,2016-11-19,9.7
621156367,Loella Vickarman,2019-05-26,2019-08-09,3.0
680879159,Robby Banting,2018-09-11,2016-01-06,4.7
316669763,Kev Perdue,2018-12-11,2017-01-08,1.7
311215833,Bevan Cossell,2018-01-24,2015-10-22,4.9
529293967,Jordanna Blesdill,2017-08-16,2019-08-10,7.8
834915164,Ami Musselwhite,2017-12-27,2016-04-15,4.1
100195656,Ulberto Adelsberg,2016-05-19,2019-08-29,6.4
818527267,Henrik Pallis,2017-09-19,2016-01-28,1.0
923980276,Lyndsey Lenglet,2017-06-27,2016-01-01,6.0
606463384,Ardeen Keilty,2016-07-19,2019-03-01,0.2
949234587,Kyle Chazotte,2016-12-26,2018-02-12,1.7
446778925,Athene Farmloe,2017-11-02,2019-03-25,2.4
056846454,Wells Ronchka,2018-12-31,2019-08-08,1.0
490698670,Nichole des Remedios,2019-04-23,2016-07-27,5.6
387180330,Luce Carff,2017-08-30,2016-08-12,3.1
525165937,Ania Gherardi,2018-07-10,2016-06-21,1.1
732569655,Geri Fedder,2017-01-26,2016-02-07,4.4
071871146,Ingar Lamprecht,2016-02-14,2017-07-13,1.7
890284425,Brockie Lutzmann,2018-06-01,2016-02-17,0.9
553367472,Caitrin Juzek,2018-08-10,2016-05-06,1.4
327776095,Berty Tonge,2017-10-04,2016-03-16,2.6
482505443,Ware Davie,2018-01-05,2016-06-27,3.7
150358740,Jeddy Justice,2017-03-29,2016-10-14,9.7
966668567,Marlo Lidington,2017-09-24,2016-05-29,8.2
676781231,Felix Paskins,2018-03-19,2016-07-20,6.5
938938875,Eimile Keddle,2015-11-12,2018-03-01,9.5
885323104,Cori Swanbourne,2017-04-11,2018-06-07,8.1
069711615,Maria Pinnington,2017-07-31,2019-03-09,1.1
475267593,Jamill Grishkov,2019-10-05,2017-05-05,3.0
501711169,Malchy Bowie,2019-01-04,2017-06-15,6.8
210635462,Janine McKeever,2016-12-07,2015-10-22,7.8
991416079,Welbie Mellsop,2017-03-10,2017-11-22,2.5
661208590,Claudian Skones,2019-09-23,2016-08-10,4.9
833196647,Zelig Tremmil,2019-03-22,2018-01-06,3.4
602293244,Simona Grimster,2018-07-17,2017-01-29,1.4
291350744,Mair Diggle,2016-05-31,2016-01-05,4.8
993722102,Bronnie O'Connel,2018-11-13,2015-11-02,2.1
513324728,Silvanus Beams,2019-02-08,2017-08-05,4.4
172316002,Renard MacEveley,2016-03-20,2017-09-17,7.4
812130260,Mareah Orgel,2019-08-05,2017-09-05,3.5
817122150,Deny Bisson,2016-03-22,2017-07-27,1.7
194470000,Jami Figliovanni,2016-02-09,2016-07-05,5.4
195770590,Tana Cooley,2016-09-24,2019-01-10,4.4
359938166,Winston Tacon,2017-11-13,2018-08-09,9.2
712377148,Geri Hestrop,2017-12-14,2016-01-12,4.1
640749001,Patrica Provost,2019-07-17,2018-01-22,5.2
795410793,Gretta Whitworth,2017-05-06,2018-01-05,5.6
000513359,Cybill Riby,2016-06-20,2016-12-25,8.7
786838446,Berne Michell,2018-02-17,2017-12-16,0.8
459681220,Lulu Squeers,2018-12-26,2019-01-16,1.8
936480351,Mathilde Longhurst,2017-06-05,2018-10-20,1.9
454046859,Uta McKiernan,2016-01-19,2018-03-02,3.8
584287577,Davita Evershed,2018-11-09,2018-09-01,2.2
411364659,Josh Praten,2016-10-17,2017-12-08,8.6
307264412,Derron Parks,2018-07-19,2018-07-01,7.4
582083708,Merrili Abelov,2016-09-05,2019-09-01,3.4
388537506,Colver Bolger,2018-05-08,2017-06-28,0.2
739128600,Salvatore Edgerley,2016-05-10,2016-06-21,5.9
357120030,Ric Olenichev,2019-02-06,2018-11-12,2.3
114551254,Olly McRorie,2019-02-05,2017-12-27,3.3
170915520,Horatio Abelevitz,2016-07-06,2018-05-08,2.3
433042812,Tory Erwin,2015-10-30,2018-07-13,2.0
734437248,Eal Brumhead,2017-05-27,2018-11-15,6.1
783848891,Kincaid Faughey,2016-08-12,2016-02-12,9.2
365488477,Deena Trebbett,2017-05-15,2017-04-09,3.0
480578605,Cosetta Frenzel;,2016-09-06,2018-10-27,0.7
436861907,Merissa Caslake,2018-10-17,2016-11-27,1.3
537903682,Harris Hartwell,2016-02-23,2016-02-23,7.9
004182274,Sammy Lillecrap,2016-10-29,2018-11-13,1.6
827092589,Corbet Lesmonde,2017-02-23,2019-05-19,6.5
401446571,Krishnah Widdecombe,2017-11-17,2017-06-19,5.9
346610757,Oliver Gravatt,2019-09-30,2018-11-15,3.8
032455082,Fabian Digance,2016-03-25,2019-05-07,1.7
483689341,Myrna Hawarden,2016-07-16,2017-05-04,2.7
126081494,Amii Clowley,2015-10-17,2015-12-08,7.2
036172531,Law Treher,2017-01-10,2016-06-04,8.3
746565996,Alonso Mangion,2018-06-30,2015-11-29,5.4
717211716,Thor Flaonier,2015-12-04,2016-10-20,5.7
817595856,Booth Hawsby,2019-07-25,2017-11-14,6.1
354705581,Onida Putson,2018-02-27,2019-09-14,2.1
788475725,Belicia Sweedland,2016-06-23,2018-01-07,8.1
280685882,Trudy Rawes,2017-07-28,2019-03-14,2.9
356085108,Dickie Scrooby,2018-11-22,2018-09-21,9.9
270421647,Elwin Rosoman,2016-06-10,2018-08-19,7.9
263282759,Marcia Woolaghan,2016-02-04,2018-09-06,8.9
985333880,Gordy Pavolillo,2019-03-07,2018-10-20,8.6
965791980,Dottie Uridge,2017-11-22,2016-04-28,7.4
773827468,Stephine Snawdon,2017-02-09,2016-09-22,7.2
992198634,Faulkner Matzel,2019-08-22,2016-05-06,8.3
325688199,Larine Cooper,2016-04-26,2017-02-20,1.1
773372138,Ethyl Morson,2018-02-18,2019-04-16,1.7
703199601,Helene Mathiasen,2017-08-08,2016-03-28,7.5
302868397,Mayor Flattman,2017-11-24,2016-02-20,3.7
008017959,Laura Ribey,2016-12-05,2019-02-10,4.2
711268838,Currie Huggin,2016-06-30,2019-03-24,4.6
342788278,Pincus Idle,2016-09-08,2019-03-23,3.7
701378293,Cyril Forestall,2016-08-18,2016-08-07,2.0
409156322,Jolee Springer,2018-02-12,2017-10-14,6.5
061024450,Crissie Jinkin,2017-09-07,2017-05-04,4.9
737658368,Lettie Clooney,2017-01-15,2019-05-01,3.8
179622739,Damiano Beatty,2019-07-05,2017-07-25,1.1
418777716,Libbi Haskett,2018-12-17,2016-10-04,1.1
290839752,Aubine O'Halleghane,2018-01-02,2016-12-13,9.5
612397610,Angie Allgood,2016-10-07,2019-01-25,3.9
211955514,Bernadina Hardwich,2019-09-25,2019-05-09,1.7
603722832,Jasmina Trembath,2019-02-18,2016-10-24,3.7
374555221,Saundra Ollenbuttel,2015-10-20,2018-11-21,7.6
995449073,Greta Rolinson,2018-12-22,2019-01-21,5.1
479937191,Ingelbert Jorioz,2017-05-02,2018-04-12,0.1
686039227,Con Alflat,2016-06-06,2016-03-03,4.9
399514650,Anissa Harmeston,2017-07-17,2017-05-10,4.8
270974436,Oran Rumney,2019-01-28,2018-05-03,3.7
359404154,Rutledge Kimmons,2016-11-19,2019-08-01,6.8
453022752,Seline Needs,2018-12-09,2019-02-23,8.0
639966502,Orbadiah Newdick,2018-11-23,2016-10-06,5.5
471212226,Dallon Mulhall,2016-05-22,2017-01-27,6.0
868244272,Rafferty Clash,2019-08-28,2019-04-21,9.2
425965735,Eileen Bausmann,2019-02-26,2019-08-08,0.3
719516021,Corie Boxill,2015-10-25,2016-02-27,2.4
187886676,Penrod Burchall,2017-01-06,2018-11-06,7.9
074963384,Bliss Primmer,2017-05-16,2017-09-04,7.9
373394168,Wilfrid Giraudel,2019-02-12,2018-11-16,3.4
602548391,Natalee Colten,2017-07-10,2017-10-03,9.4
786824385,Sasha Reynoldson,2015-11-03,2016-12-17,0.8
653663328,Dani Cottrell,2017-07-09,2017-05-12,4.1
169935492,Bealle Wehner,2017-09-07,2016-01-09,9.8
973898682,Arlene Simson,2019-06-30,2018-09-05,1.4
868765659,Ferdinand Wakelin,2017-03-02,2017-03-01,6.4
919936944,Natalie Guarin,2019-02-15,2019-01-10,2.8
620035712,Florie Carwithan,2019-10-05,2018-07-26,9.2
502022789,Kelley Wardhough,2016-06-30,2017-08-28,9.4
616764204,Jo-ann Dalgarno,2016-03-22,2018-10-20,2.1
847860883,Branden Northway,2017-02-12,2019-02-19,7.5
237976735,Christiane Ruegg,2016-01-05,2017-06-09,2.1
558141564,Letisha Nulty,2017-04-28,2019-10-06,0.3
009569116,Frants Skully,2018-10-23,2019-07-23,6.9
264472428,Maegan Minghella,2018-12-13,2019-03-11,4.1
107611911,Caterina Boyle,2015-12-19,2016-01-05,0.6
050548554,Roth Weinmann,2015-11-05,2018-07-05,2.4
811853458,Ambrose Venard,2019-01-04,2017-05-14,5.7
931456186,Skylar Attiwill,2018-07-10,2016-11-20,8.9
425629636,Jeddy Sizeland,2019-09-14,2018-09-09,6.9
661610972,Lucia Kabisch,2018-07-19,2016-04-10,9.7
807427291,Gilligan Tenman,2019-06-05,2016-10-20,2.0
902140507,Esmaria Poinsett,2019-03-10,2016-07-14,9.3
286360471,Max Semrad,2018-08-06,2017-06-23,3.8
862945555,Myer Hynes,2017-03-20,2017-08-27,2.9
870052858,Griffie Giacubbo,2016-05-06,2019-03-12,5.9
742789261,Feliks Rolling,2016-08-06,2018-11-14,3.3
978154339,Lindon O'Docherty,2015-10-20,2018-01-09,4.0
081891141,Alonso Guidone,2019-02-22,2017-09-22,6.7
982047360,Siusan Fairbairn,2018-03-14,2018-12-24,8.3
721217721,Wit Rutland,2017-11-15,2017-11-03,2.3
060165849,Lolly Kruschev,2016-07-15,2019-08-14,3.2
356715643,Pansie Craigg,2016-03-06,2017-11-21,8.7
309655537,Justino Georgel,2019-04-22,2018-01-13,8.9
682961641,Carlie Catley,2016-01-16,2018-01-05,1.6
006792690,Wenona Hammonds,2018-08-19,2017-05-01,7.8
076872729,Locke Muzzollo,2018-10-24,2019-03-09,4.3
551519799,Sabina Fransman,2019-05-17,2018-05-02,4.8
633392663,Carr Pavlasek,2018-12-01,2017-02-20,3.2
